Range,Goodput
1000,0.995
2000,0.996
3000,0.989
4000,0.989
5000,0.995
6000,0.995
7000,0.994
8000,0.99
9000,0.997
10000,0.991
11000,0.995
12000,0.996
13000,0.998
14000,0.995
15000,0.992
16000,0.994
17000,0.988
18000,0.993
19000,0.993
20000,0.992
21000,0.994
22000,0.991
23000,0.994
24000,0.992
25000,0.993
26000,0.988
27000,0.995
28000,0.993
29000,0.993
30000,0.991
31000,0.997
32000,0.989
33000,0.992
34000,0.986
35000,0.995
36000,0.992
37000,0.99
38000,0.998
39000,0.993
40000,0.994
41000,0.994
42000,0.995
43000,0.995
44000,0.992
45000,0.996
46000,0.994
47000,0.991
48000,0.992
49000,0.994
50000,0.992
51000,0.993
52000,0.997
53000,0.998
54000,0.996
55000,0.994
56000,0.991
57000,0.992
58000,0.993
59000,0.992
60000,0.992
61000,0.995
62000,0.988
63000,0.995
64000,0.993
65000,0.992
66000,0.993
67000,0.994
68000,0.996
69000,0.994
70000,0.996
71000,0.994
72000,0.992
73000,0.996
74000,0.994
75000,0.995
76000,0.994
77000,0.996
78000,0.998
79000,0.992
80000,0.992
81000,0.991
82000,0.996
83000,0.99
84000,0.997
85000,0.992
86000,0.998
87000,0.996
88000,0.994
89000,0.995
90000,0.993
91000,0.994
92000,0.992
93000,0.994
94000,0.995
95000,0.992
96000,0.998
97000,0.993
98000,0.991
99000,0.992
100000,0.995
101000,0.989
102000,0.998
103000,0.995
104000,0.99
105000,0.995
106000,0.994
107000,0.994
108000,0.993
109000,0.994
110000,0.996
111000,0.994
112000,0.993
113000,0.994
114000,0.994
115000,0.994
116000,0.994
117000,0.991
118000,0.99
119000,0.995
120000,0.997
121000,0.995
122000,0.991
123000,0.997
124000,0.996
125000,0.998
126000,0.991
127000,0.995
128000,0.991
129000,0.995
130000,0.993
131000,0.993
132000,0.994
133000,0.996
134000,0.995
135000,0.997
136000,0.993
137000,0.997
138000,0.994
139000,0.993
140000,0.991
141000,0.992
142000,0.995
143000,0.993
144000,0.992
145000,0.994
146000,0.997
147000,0.993
148000,0.996
149000,0.994
150000,0.992
151000,0.997
152000,0.993
153000,0.994
154000,0.992
155000,0.994
156000,0.998
157000,0.998
158000,0.993
159000,0.99
160000,0.994
161000,0.993
162000,0.993
163000,0.995
164000,0.994
165000,0.997
166000,0.995
167000,0.991
168000,0.993
169000,0.997
170000,0.993
171000,0.995
172000,0.994
173000,0.989
