Segment,Window Size (Received)
1,1024
1000,13056
2000,9812
3000,21357
4000,28343
5000,17700
6000,33106
7000,28997
8000,17172
9000,20730
10000,24015
11000,14929
12000,30565
13000,15707
14000,7713
15000,13124
16000,32151
17000,30413
18000,18715
19000,35474
20000,12699
21000,14649
22000,17369
23000,33526
24000,27809
25000,24202
26000,17452
27000,19345
28000,9297
29000,18748
30000,23925
31000,17844
32000,22322
33000,25114
34000,7013
35000,24101
36000,26520
37000,20334
38000,14596
39000,25439
40000,13705
41000,17460
42000,17825
43000,14070
44000,16370
45000,13664
46000,17269
47000,11895
48000,29105
49000,4178
50000,25341
51000,10144
52000,9679
53000,9410
54000,22901
55000,21397
56000,15841
57000,17502
58000,10236
59000,20064
60000,7723
61000,26798
62000,28538
63000,21665
64000,33772
65000,14672
66000,14886
67000,23226
68000,15403
69000,23959
70000,17753
71000,24661
72000,19573
73000,19680
74000,32869
75000,27846
76000,47005
77000,30465
78000,15386
79000,33407
80000,12609
81000,14477
82000,20015
83000,13003
84000,30633
85000,4944
86000,28182
87000,11956
88000,10334
89000,27927
90000,32718
91000,10753
92000,38208
93000,8245
94000,10831
95000,19257
96000,17277
97000,8766
98000,14473
99000,8514
100000,2461
101000,20166
102000,42653
103000,34154
104000,26869
105000,13860
106000,15544
107000,14490
108000,20930
109000,27858
110000,45975
111000,35427
112000,35481
113000,35467
114000,20142
115000,14571
116000,19629
117000,22265
118000,33313
119000,9978
120000,18465
121000,13631
122000,23574
123000,16577
124000,23450
125000,17966
126000,29539
127000,7862
128000,23818
129000,19421
130000,12372
131000,16832
132000,10919
133000,14138
134000,13926
135000,7821
136000,17641
137000,13709
138000,14497
139000,28388
140000,25865
141000,25040
142000,36550
143000,17483
144000,15101
145000,14034
146000,18210
147000,11271
148000,20736
149000,8640
150000,6556
151000,18252
152000,29133
153000,33117
154000,17333
155000,27707
156000,33407
157000,21099
158000,22474
159000,8878
160000,13899
161000,20005
162000,34862
163000,20602
164000,17599
165000,30490
166000,28839
167000,9056
168000,14797
169000,30067
170000,13894
171000,6501
172000,30675
173000,14766
174000,20366
175000,12631
176000,26710
177000,17605
178000,28721
179000,10732
180000,19856
181000,11737
182000,5783
183000,26157
184000,10136
185000,12665
186000,15833
187000,35141
188000,18973
189000,22103
190000,10665
191000,16822
192000,13494
193000,21918
194000,17013
195000,25454
196000,26126
197000,15492
198000,23580
199000,18340
200000,12963
201000,20235
202000,16251
203000,10961
204000,18221
205000,22219
206000,28539
207000,16574
208000,21987
209000,27587
210000,30750
211000,12738
212000,10391
213000,18534
214000,12088
215000,24102
216000,19361
217000,13249
218000,10672
219000,16060
220000,15186
221000,7992
222000,14627
223000,22610
224000,16765
225000,19782
226000,23797
227000,14991
228000,32489
229000,19182
230000,12579
231000,21331
232000,15525
233000,14523
234000,16346
235000,31165
236000,17458
237000,20227
238000,18158
239000,19346
240000,26974
241000,20567
242000,24189
243000,24368
244000,21356
245000,20718
246000,18102
247000,20906
248000,15027
249000,16427
250000,21251
251000,23745
252000,13203
253000,16569
254000,11056
