Segment,Window Size (Sent)
1,14596
1000,9410
2000,22901
3000,21665
4000,19573
5000,32869
6000,2461
7000,16577
8000,15492
9000,14991
10000,20567
11000,36910
12000,5692
13000,14059
14000,6696
15000,7988
16000,10782
17000,20143
18000,12386
19000,8564
20000,14426
21000,26254
22000,11251
23000,6167
24000,9010
25000,21088
26000,24582
27000,5666
28000,25041
29000,13898
30000,4915
31000,5400
32000,28129
33000,18535
34000,16236
35000,14670
36000,4496
37000,7172
38000,9109
39000,15475
40000,19349
41000,13076
42000,13116
43000,11276
44000,20104
45000,6547
46000,30006
47000,9024
48000,17002
49000,17295
50000,15353
51000,24655
52000,16168
53000,18205
54000,14948
55000,21471
56000,23516
57000,26563
58000,29241
59000,26122
60000,13623
61000,10789
62000,9305
63000,7433
64000,24017
65000,15888
66000,17158
67000,28999
68000,28429
69000,9290
70000,18784
71000,12732
72000,10323
73000,11186
74000,18127
75000,4944
76000,16688
77000,19803
78000,16637
79000,14957
80000,5985
81000,21534
82000,6791
83000,10959
84000,14279
85000,10935
86000,15278
87000,17062
88000,12778
89000,16997
90000,5790
91000,19294
92000,10789
93000,16872
94000,17347
95000,12844
96000,26326
97000,14031
98000,15365
99000,17754
100000,15004
101000,15144
102000,15466
103000,11122
104000,21228
105000,18030
106000,11144
107000,13778
108000,12634
109000,26692
110000,16843
111000,9118
112000,18059
113000,21544
114000,13784
115000,18128
116000,17964
117000,24969
118000,6918
119000,8069
120000,12881
121000,19295
122000,19091
123000,19190
124000,21125
125000,14443
126000,14872
127000,29142
128000,11148
129000,19474
130000,18312
131000,12772
132000,11394
133000,14220
134000,22772
135000,4516
136000,22438
137000,21944
138000,13167
139000,16248
140000,10593
141000,9485
142000,5634
143000,28896
144000,12318
145000,29921
146000,15606
147000,11938
148000,29235
149000,17371
150000,19514
151000,9039
152000,16294
153000,14684
154000,5748
155000,13413
156000,18395
157000,6236
158000,27407
159000,8397
160000,9702
161000,10639
162000,10665
163000,15879
164000,13719
165000,11712
166000,20347
167000,24858
168000,19411
169000,37333
170000,15522
171000,9051
172000,25739
173000,19304
174000,17389
175000,28051
176000,26080
177000,23986
178000,20796
179000,12884
180000,7112
181000,22231
182000,15275
183000,17673
184000,19905
185000,7938
186000,20527
187000,22196
188000,23315
189000,16946
190000,19992
191000,8489
192000,19283
193000,9096
194000,28523
195000,20169
196000,10275
197000,17736
198000,20912
199000,9479
200000,16117
201000,18807
202000,19976
203000,9323
204000,15038
205000,12580
206000,18094
207000,17149
208000,12362
209000,11967
210000,4757
211000,20561
212000,11989
213000,19963
214000,14827
215000,12185
