Segment,Sequence Number Dropped
604,29696
623,49152
903,19456
953,11264
1041,10240
1060,7168
1203,9216
1285,11264
1298,4096
1309,1024
1494,11264
1606,4096
1608,6144
1674,5120
1729,7168
1902,8192
1928,6144
1958,4096
1962,8192
2009,5120
2316,8192
2409,6144
2544,16384
2864,22528
3095,17408
3125,12288
3166,6144
3757,32768
4057,12288
4158,4096
4279,6144
4317,10240
4342,3072
4504,7168
4603,11264
4674,10240
4883,11264
5060,2048
5301,14336
5484,19456
5500,4096
6064,6144
6079,21504
6084,26624
6405,27648
6463,11264
6486,9216
6539,4096
6621,7168
7119,11264
7121,13312
7519,19456
7610,13312
7910,5120
8035,17408
8123,10240
8124,11264
8174,1024
8295,15360
8555,5120
8622,12288
8837,18432
9150,4096
9192,6144
9297,7168
9815,3072
10045,20480
10127,7168
10418,9216
10617,18432
10976,22528
11041,1024
11259,20480
11431,6144
11602,11264
12018,8192
12157,18432
12186,8192
12219,4096
12442,14336
12512,3072
12828,25600
12913,15360
13347,25600
13478,7168
13515,2048
13756,10240
13797,8192
13897,1024
13945,10240
13972,5120
14293,21504
14523,16384
14734,5120
14778,3072
14797,3072
14862,9216
14931,11264
15023,10240
15150,2048
15608,6144
16265,34816
16323,17408
16623,8192
17070,30720
17227,8192
17315,8192
17422,15360
17507,1024
17919,13312
17927,21504
18012,15360
18194,17408
18360,9216
18434,8192
19058,3072
19172,7168
19371,20480
19574,16384
19629,3072
19714,11264
19956,2048
20074,16384
20124,11264
20169,9216
20190,5120
20320,11264
20460,3072
20466,9216
20764,17408
20772,25600
20881,4096
20897,1024
21493,33792
21686,12288
21930,21504
22449,10240
22523,17408
23213,14336
23325,10240
23714,16384
24451,35840
24567,6144
24599,3072
24753,2048
25031,14336
25581,34816
25732,18432
25814,12288
25858,6144
26026,2048
26070,8192
26308,14336
26368,6144
26376,14336
26542,10240
26910,17408
27131,12288
27140,21504
27159,5120
27177,6144
27259,5120
27291,3072
27457,13312
27551,12288
27713,9216
27766,1024
27804,5120
27845,7168
27941,9216
27954,2048
28043,9216
28159,7168
28422,22528
28462,3072
28555,6144
28604,1024
28617,3072
28878,7168
29012,2048
29068,9216
29150,11264
29319,11264
29472,10240
29811,15360
30139,16384
30199,6144
30429,10240
30767,20480
30868,1024
31251,23552
31410,1024
31495,4096
31739,1024
31779,7168
32467,27648
32490,13312
32492,15360
32751,8192
33129,11264
33294,7168
33317,8192
33399,8192
33659,17408
33787,6144
33831,1024
33884,7168
33909,7168
33918,2048
33960,4096
33975,1024
34147,15360
34216,3072
34271,4096
34426,5120
34817,28672
35055,16384
35219,11264
35287,12288
35468,4096
35593,9216
35695,2048
36280,31744
36284,1024
36500,12288
36782,18432
36809,8192
36816,2048
37136,17408
37427,24576
37513,14336
37569,3072
37996,26624
37998,28672
38517,14336
38550,12288
38721,4096
39027,1024
39145,6144
39242,8192
39246,12288
39464,5120
39713,1024
39771,12288
39935,7168
40014,12288
40166,12288
40368,14336
40849,23552
40871,13312
41043,1024
41180,1024
41218,4096
41559,16384
41827,24576
41869,2048
42170,9216
42191,5120
42230,6144
42691,29696
42899,22528
42923,11264
43052,2048
43057,7168
43220,10240
43540,22528
43743,12288
43770,5120
43833,11264
43898,9216
44077,15360
44215,17408
44355,14336
44650,19456
44730,4096
44862,11264
44923,5120
45252,11264
45462,8192
45612,19456
45841,12288
45866,3072
46009,8192
46352,11264
46856,5120
46973,18432
47344,27648
47351,6144
47657,14336
47992,12288
48165,4096
48211,7168
48237,3072
48565,1024
48671,11264
48870,11264
48895,5120
48932,5120
48955,4096
48965,4096
48992,6144
49392,24576
49456,2048
49568,5120
49660,11264
49720,6144
49722,8192
50783,32768
50922,5120
50960,3072
51062,1024
51125,4096
51155,4096
51293,1024
51768,22528
51866,4096
51909,8192
51958,1024
52160,12288
52328,6144
52358,7168
52378,2048
52480,9216
52699,19456
52845,18432
52910,9216
52951,6144
52961,2048
53003,4096
53066,9216
53096,2048
53433,11264
53605,13312
53683,10240
53694,6144
53775,5120
54195,21504
54230,13312
54295,6144
54525,7168
54702,17408
54775,1024
54804,8192
55084,7168
55190,8192
55263,1024
55320,4096
55370,8192
55464,7168
55521,10240
55530,3072
55593,6144
55966,27648
56248,9216
56329,5120
56335,11264
56470,4096
56933,12288
57167,20480
57359,22528
57464,14336
57491,7168
57605,12288
57825,7168
57884,11264
57963,1024
57972,10240
58358,19456
58402,8192
58408,14336
58528,4096
58801,12288
58834,10240
59109,7168
59279,18432
59637,14336
59669,5120
59687,3072
59894,16384
59989,7168
60216,8192
60417,1024
60590,7168
60617,5120
60674,3072
61002,5120
61095,2048
61139,2048
61492,3072
61677,8192
62076,24576
62228,7168
62319,1024
62328,10240
62478,12288
62708,21504
62717,8192
62719,10240
62803,12288
63024,4096
63061,9216
63575,26624
64014,10240
64036,32768
64050,13312
64096,9216
64114,5120
64298,14336
64407,4096
64418,15360
64715,23552
64790,3072
64920,8192
65133,1024
65158,4096
65347,18432
65454,6144
65634,7168
65706,4096
65751,5120
65793,7168
65835,1024
65911,7168
66039,13312
66230,19456
66275,2048
66426,2048
66461,2048
66492,1024
66595,8192
66791,15360
67345,24576
67479,13312
67495,7168
67644,16384
67717,9216
67931,14336
68033,4096
68056,2048
68206,13312
68235,8192
68423,2048
68625,10240
68771,9216
69233,23552
69289,17408
69375,9216
69966,11264
69995,5120
70088,4096
70358,4096
70819,31744
71207,28672
71606,5120
71895,16384
72166,13312
72264,15360
72269,3072
72288,2048
72336,9216
72428,7168
72619,9216
72854,7168
73028,3072
73061,5120
73130,7168
73172,2048
73263,11264
