Segment,Sequence Number Received
1,1024
1000,8192
2000,5120
3000,8192
4000,10240
5000,16384
6000,7168
7000,10240
8000,15360
9000,15360
10000,22528
11000,5120
12000,19456
13000,8192
14000,7168
15000,12288
16000,7168
17000,19456
18000,3072
19000,14336
20000,12288
21000,10240
22000,2048
23000,8192
24000,13312
25000,6144
26000,11264
27000,4096
28000,8192
29000,8192
30000,2048
31000,14336
32000,16384
33000,12288
34000,6144
35000,8192
36000,12288
37000,10240
38000,1024
39000,23552
40000,11264
41000,12288
42000,3072
43000,8192
44000,4096
45000,6144
46000,15360
47000,6144
48000,20480
49000,4096
50000,8192
51000,8192
52000,6144
53000,1024
54000,1024
55000,9216
56000,7168
57000,17408
58000,3072
59000,3072
60000,2048
61000,3072
62000,3072
63000,1024
64000,28672
65000,8192
66000,3072
67000,9216
68000,2048
69000,2048
70000,10240
71000,10240
72000,1024
73000,14336
74000,1024
75000,4096
76000,37888
77000,16384
78000,3072
79000,13312
80000,5120
81000,9216
82000,4096
83000,12288
84000,25600
85000,4096
86000,21504
87000,5120
88000,7168
89000,21504
90000,3072
91000,5120
92000,23552
93000,7168
94000,2048
95000,6144
96000,9216
97000,4096
98000,5120
99000,6144
100000,1024
101000,14336
102000,37888
103000,8192
104000,19456
105000,7168
106000,14336
107000,14336
108000,19456
109000,8192
110000,39936
111000,32768
112000,27648
113000,12288
114000,2048
115000,7168
116000,9216
117000,6144
118000,6144
119000,6144
120000,17408
121000,10240
122000,21504
123000,1024
124000,3072
125000,4096
126000,12288
127000,5120
128000,7168
129000,16384
130000,6144
131000,3072
132000,5120
133000,2048
134000,2048
135000,3072
136000,7168
137000,11264
138000,5120
139000,18432
140000,5120
141000,16384
142000,30720
143000,15360
144000,8192
145000,3072
146000,12288
147000,4096
148000,13312
149000,2048
150000,5120
151000,12288
152000,7168
153000,24576
154000,6144
155000,15360
156000,25600
157000,20480
158000,9216
159000,2048
160000,4096
161000,5120
162000,33792
163000,16384
164000,5120
165000,22528
166000,14336
167000,7168
168000,12288
169000,17408
170000,6144
171000,6144
172000,13312
173000,13312
174000,8192
175000,3072
176000,26624
177000,8192
178000,15360
179000,7168
180000,15360
181000,2048
182000,4096
183000,2048
184000,7168
185000,12288
186000,12288
187000,32768
188000,6144
189000,9216
190000,6144
191000,10240
192000,6144
193000,18432
194000,15360
195000,2048
196000,21504
197000,1024
198000,4096
199000,2048
200000,12288
201000,7168
202000,8192
203000,3072
204000,3072
205000,8192
206000,23552
207000,16384
208000,12288
209000,7168
210000,22528
211000,10240
212000,10240
213000,16384
214000,3072
215000,8192
216000,8192
217000,11264
218000,5120
219000,8192
220000,11264
221000,2048
222000,10240
223000,2048
224000,2048
225000,18432
226000,18432
227000,1024
228000,30720
229000,18432
230000,3072
231000,10240
232000,2048
233000,4096
234000,7168
235000,17408
236000,16384
237000,6144
238000,12288
239000,2048
240000,10240
241000,1024
242000,6144
243000,16384
244000,9216
245000,7168
246000,15360
247000,11264
248000,4096
249000,12288
250000,3072
251000,19456
252000,5120
253000,15360
254000,7168
255000,17408
256000,5120
257000,15360
258000,6144
259000,11264
260000,4096
261000,22528
262000,4096
263000,7168
264000,17408
265000,6144
266000,21504
