Segment,Sequence Number Dropped
172,46080
260,4096
282,26624
397,12288
560,18432
581,9216
602,1024
735,9216
1034,13312
1167,16384
1979,25600
2264,24576
2302,3072
2437,7168
2604,14336
2627,9216
2631,3072
2704,6144
2706,8192
2782,4096
2925,13312
3195,18432
3377,21504
3478,10240
3567,5120
3791,4096
3927,10240
4014,2048
4044,2048
4298,22528
4516,10240
4551,11264
4624,4096
4677,4096
4781,2048
4901,8192
4942,9216
5160,13312
5294,18432
5492,16384
5973,25600
6028,17408
6275,22528
6385,11264
6540,5120
6622,13312
6852,13312
6999,12288
7162,2048
7279,15360
7324,10240
7541,16384
7726,15360
8495,28672
8602,13312
8698,5120
8771,11264
9019,8192
9036,2048
9264,19456
9455,3072
