Segment,Sequence Number Received
1,1024
2,1024
3,2048
4,1024
5,2048
6,3072
7,4096
8,1024
9,2048
10,3072
11,4096
12,5120
13,6144
14,7168
15,8192
16,1024
17,2048
18,3072
19,4096
20,5120
21,6144
22,7168
23,8192
24,9216
25,10240
26,11264
27,12288
28,13312
29,14336
30,15360
31,16384
32,1024
33,2048
34,3072
35,4096
36,5120
37,6144
38,7168
39,8192
40,9216
41,10240
42,11264
43,12288
44,13312
45,14336
46,15360
47,16384
48,17408
49,18432
50,19456
51,20480
52,21504
53,22528
54,23552
55,24576
56,25600
57,26624
58,27648
59,28672
60,29696
61,30720
62,31744
63,32768
64,1024
65,2048
66,3072
67,4096
68,5120
69,6144
70,7168
71,8192
72,9216
73,10240
74,11264
75,12288
76,13312
77,14336
78,15360
79,16384
80,17408
81,18432
82,19456
83,20480
84,21504
85,22528
86,23552
87,24576
88,25600
89,26624
90,27648
91,28672
92,29696
93,30720
94,31744
95,32768
96,33792
97,34816
98,35840
99,36864
100,37888
101,38912
102,39936
103,40960
104,41984
105,43008
106,44032
107,45056
108,46080
109,47104
110,48128
111,49152
112,50176
113,51200
114,52224
115,53248
116,54272
117,55296
118,56320
119,57344
120,58368
121,59392
122,60416
123,61440
124,62464
125,63488
126,64512
127,65536
128,1024
129,2048
130,3072
131,4096
132,5120
133,6144
134,7168
135,8192
136,9216
137,10240
138,11264
139,12288
140,13312
141,14336
142,15360
143,16384
144,17408
145,18432
146,19456
147,20480
148,21504
149,22528
150,23552
151,24576
152,25600
153,26624
154,27648
155,28672
156,29696
157,30720
158,31744
159,32768
160,33792
161,34816
162,35840
163,36864
164,37888
165,38912
166,39936
167,40960
168,41984
169,43008
170,44032
171,45056
172,47104
173,48128
174,49152
175,50176
176,51200
177,52224
178,53248
179,54272
180,55296
181,56320
182,57344
183,58368
184,59392
185,60416
186,61440
187,62464
188,63488
189,64512
190,65536
191,1024
192,2048
193,3072
194,4096
195,5120
196,6144
197,7168
198,8192
199,9216
200,10240
201,11264
202,12288
203,13312
204,14336
205,15360
206,16384
207,17408
208,18432
209,19456
210,20480
211,21504
212,22528
213,23552
214,24576
215,25600
216,26624
217,27648
218,28672
219,29696
220,30720
221,31744
222,32768
223,1024
224,2048
225,3072
226,4096
227,5120
228,6144
229,7168
230,8192
231,9216
232,10240
233,11264
234,12288
235,13312
236,14336
237,15360
238,16384
239,17408
240,18432
241,19456
242,20480
243,21504
244,22528
245,23552
246,24576
247,25600
248,26624
249,27648
250,28672
251,29696
